Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Sep 2021,Searches: Oct 2021,Searches: Nov 2021,Searches: Dec 2021,Searches: Jan 2022,Searches: Feb 2022,Searches: Mar 2022,Searches: Apr 2022,Searches: May 2022,Searches: Jun 2022,Searches: Jul 2022,Searches: Aug 2022,Concept: Platform,Concept: Service,Concept: Technology,Concept: Company,Concept: Personal Information,Concept: Other Brands,Concept: Non-Brands,Concept: Hosting Provider,Concept: Others,Concept: Control Panel
domain world,INR,500,0%,0%,Low,17,11.14,64.66,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
find domain registrar,INR,500,0%,0%,Medium,34,13.53,231.59,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
domain cc,INR,500,0%,0%,Low,13,13.53,95.5,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
static website hosting,INR,500,0%,0%,Low,28,37.4,230,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",aws,,website,,,,,
economy linux hosting with cpanel,INR,500,0%,0%,Medium,46,94.7,285,,,,,,,,,,,,,,,,,,,"linux hosting, web hosting",,godaddy,,,,,,cpanel
cheap cloud hosting,INR,500,0%,0%,High,73,78.79,226.02,,,,,,,,,,,,,,,,,,,"web hosting services, cloud hosting, web hosting",,,,,Non-Brands,,,
godaddy domain lookup,INR,50,0%,-90%,Low,16,21.49,458.4,,,,,,,,,,,,,,,,,,,,,godaddy,name,,,,,
active domain,INR,50,0%,0%,Low,9,14.09,130.52,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
transfer domain to wix,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,,wix,website hosting,,,"website, name",,,,,
virtual dedicated server,INR,50,0%,0%,Medium,58,134.51,538,,,,,,,,,,,,,,,,,,,"web hosting services, virtual server, web hosting",,,,,Non-Brands,,,
wix web hosting,INR,50,0%,-90%,Low,32,26.6,185.03,,,,,,,,,,,,,,,,,,wix,"web hosting services, website hosting, web hosting",,,website,,,,,
windows web hosting,INR,500,900%,0%,Medium,55,67.24,299.23,,,,,,,,,,,,,,,,,,,"windows hosting, web hosting",,,,,Non-Brands,,,
free unlimited web hosting,INR,500,900%,0%,Medium,43,17.15,168.72,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting, free hosting",,,website,free,,,,
best hosting 2021,INR,50,0%,0%,Medium,62,,,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,2021,
a domain,INR,500,0%,-90%,Low,7,12.73,51.71,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
domain ch,INR,500,0%,0%,Low,7,18.3,124.95,,,,,,,,,,,,,,,,,,,,,,,domain ch,,,,
host your own website,INR,50,0%,0%,Medium,56,34.1,188.13,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,,website,,Non-Brands,,,
host site,INR,500,0%,0%,Low,27,33.43,183.84,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,,website,,Non-Brands,,,
free custom domain,INR,500,0%,0%,Medium,57,17.01,157.58,,,,,,,,,,,,,,,,,,,,google,google domains,,free,,,,
cpanel web hosting,INR,500,0%,0%,Medium,51,78.79,368.47,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,,,,cpanel
wordpress domain price,INR,500,0%,0%,Medium,36,15.24,88.34,,,,,,,,,,,,,,,,,,wordpress,wordpress hosting,,,,,,,,
cloudflare domain registration,INR,50,0%,0%,Low,18,45.36,191,,,,,,,,,,,,,,,,,,,domain registration,,cloudflare,name,,,,,
cheap server hosting,INR,500,0%,0%,High,75,57.36,258.65,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
amazon aws hosting,INR,50,0%,0%,Medium,42,58.11,7958.37,,,,,,,,,,,,,,,,,,,"web hosting services, cloud hosting, web hosting",aws,,,,,,,
domain sites,INR,500,0%,0%,Medium,51,17.91,86.75,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
wordpress subdomain,INR,50,0%,-90%,Low,5,6.37,84.36,,,,,,,,,,,,,,,,,,wordpress,,,,,,,,,
epik web hosting,INR,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, domain web hosting, web hosting",,,website,epik,,,,
namecheap private email,INR,50,0%,0%,Low,6,36.61,1159.54,,,,,,,,,,,,,,,,,,,email hosting,,namecheap,email,,,,,
web hosting provider,INR,500,0%,0%,Medium,54,46.79,256.26,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
godaddy dedicated server,INR,500,0%,0%,Medium,51,62.8,328.28,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,godaddy,,,,,,
freenom free domain,INR,500,0%,0%,Low,23,10.35,66.31,,,,,,,,,,,,,,,,,,,,,,name,"free, freenom",,,,
domain api,INR,50,0%,0%,Low,29,9.13,77.58,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
google domain purchase,INR,500,0%,0%,Medium,48,100.81,11353.42,,,,,,,,,,,,,,,,,,,domain registration,google,google domains,name,,,,,
wordpress dns,INR,50,0%,0%,Low,7,,,,,,,,,,,,,,,,,,,,wordpress,,,,,,,,,
website hosting companies,INR,500,0%,0%,Medium,63,26.35,183.72,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, business hosting, web hosting",,,website,,Non-Brands,,,
subdomain lookup,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
bluehost web hosting,INR,500,0%,-90%,Medium,35,21.49,834.83,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,bluehost,website,,,,,
subdomain checker,INR,500,0%,0%,Low,2,10.11,21.23,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
bluehost domain search,INR,50,0%,0%,Medium,38,29.98,164.74,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, domain web hosting, web hosting",,bluehost,"website, name",,,,,
expired domains list,INR,500,0%,0%,Medium,41,7.16,55.71,,,,,,,,,,,,,,,,,,,,,,name,expired domains,,,,
top web hosting,INR,50,0%,0%,Medium,63,42.98,239.55,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
csc corporate domains,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,,,,,,,csc,,,,
godaddy expired domains,INR,500,0%,0%,Low,21,8.11,65.26,,,,,,,,,,,,,,,,,,,,,godaddy,name,expired domains,,,,
domain extensions list 2020,INR,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
easycgi,INR,50,0%,0%,Low,5,,,,,,,,,,,,,,,,,,,,,web hosting,,,,easycgi,,,,
third level domain,INR,50,-90%,0%,Low,1,,,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
web hosting cost,INR,500,0%,0%,Medium,56,36.61,147.23,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
website name search,INR,500,0%,0%,Medium,41,12.08,93.11,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
atmail dreamhost,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,web hosting,,dreamhost,,,,,,
hostinger web hosting,INR,500,0%,0%,Low,16,8.92,39.97,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,,hostinger,,
low cost web hosting,INR,500,-90%,-90%,Medium,40,71.94,265.28,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
shopify email hosting,INR,50,0%,0%,Low,24,,,,,,,,,,,,,,,,,,,,shopify,"ecommerce hosting, email hosting",,,"email, address",,,,,
namecheap transfer domain,INR,500,0%,0%,Low,8,26.26,333.46,,,,,,,,,,,,,,,,,,,,,namecheap,name,,,,,
dan domain,INR,500,-90%,0%,Low,5,43.77,162.41,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
weebly domain,INR,50,0%,0%,Low,22,11.41,93.11,,,,,,,,,,,,,,,,,,weebly,,,,website,,,,,
000webhost free,INR,500,0%,900%,Low,13,11.14,44.57,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting, free hosting",,,,free,,000webhost,,
subdomain search,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
domain name owner lookup,INR,50,0%,0%,Medium,44,4.78,80.38,,,,,,,,,,,,,,,,,,,,,,"name, address",,Non-Brands,,,
best domain name generator,INR,500,0%,0%,Medium,48,23.88,155.98,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
web hosting price,INR,500,0%,0%,Medium,60,24.67,135.22,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
active directory dns,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
email domain lookup,INR,50,0%,0%,Low,17,9.23,45.36,,,,,,,,,,,,,,,,,,,,,,"email, address",,Non-Brands,,,
bigdomain,INR,50,0%,0%,Low,19,16.54,115.36,,,,,,,,,,,,,,,,,,,,,,,bigdomain,,,,
business domain name,INR,500,0%,0%,Medium,44,10.33,60.62,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
wildcard domain,INR,500,0%,0%,Low,10,21.49,106.1,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
google domain check,INR,500,0%,0%,Medium,35,18.96,422.59,,,,,,,,,,,,,,,,,,,,google,google domains,,,,,,
domain buying sites,INR,500,0%,0%,Medium,63,23.68,297.64,,,,,,,,,,,,,,,,,,,domain registration,,,"website, name",,Non-Brands,,,
website domain cost,INR,50,0%,0%,Medium,45,14.38,89.93,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
best domain sites,INR,50,0%,0%,Medium,55,24.49,249.5,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
domain online,INR,500,0%,0%,Medium,51,18.3,105.05,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
website name list,INR,5000,0%,0%,Low,13,7.29,23,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
list of domains,INR,500,0%,0%,Low,19,9.7,142.45,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
domain dns lookup,INR,50,0%,0%,Low,9,12.73,128.93,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
godaddy search,INR,50,0%,-90%,Low,21,6.37,88.34,,,,,,,,,,,,,,,,,,,,,godaddy,,,,,,
onmicrosoft domain,INR,50,0%,0%,Low,6,,,,,,,,,,,,,,,,,,,,,,microsoft,,,,,,,
available website names,INR,500,0%,0%,Medium,38,15.55,93.11,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
site name generator,INR,50,0%,0%,Medium,45,12.17,50.14,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
bluehost dns,INR,50,0%,0%,Low,14,116.19,369.27,,,,,,,,,,,,,,,,,,,,,bluehost,,,,,,
web hosting and domain,INR,500,0%,0%,Medium,53,24.49,258.53,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, domain web hosting, web hosting",,,website,,Non-Brands,,,
best website hosting for small business,INR,50,0%,0%,Medium,64,172.13,535.68,,,,,,,,,,,,,,,,,,,"website hosting, business hosting, web hosting",,,website,,Non-Brands,,,
godaddy name search,INR,500,900%,0%,Medium,38,6.73,124.15,,,,,,,,,,,,,,,,,,,,,godaddy,name,,,,,
lookup icann,INR,50,0%,-90%,Low,6,13.58,139.27,,,,,,,,,,,,,,,,,,,,,,name,icann,,,,
global domains international,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,,,,,domain international,,,,
best web hosting 2020,INR,50,?,0%,High,71,,,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
shopify domain checker,INR,50,0%,0%,Low,31,11.94,113.8,,,,,,,,,,,,,,,,,,shopify,,,,,,,,,
best cheap hosting,INR,500,0%,0%,High,84,57.36,312.76,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
dns lookup windows,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
bluehost wordpress hosting,INR,500,0%,0%,Medium,38,36.22,198.16,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, wordpress hosting, web hosting",,bluehost,,,,,,
fastest web hosting,INR,500,-90%,0%,Low,28,68.8,341.72,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
hostinger dns,INR,500,0%,0%,Low,7,13.9,105.18,,,,,,,,,,,,,,,,,,,,,,website,,,hostinger,,
porkbun llc,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,,,,,,,porkbun,,,,
domain name provider,INR,500,0%,0%,Medium,60,23.95,150.41,,,,,,,,,,,,,,,,,,,domain registration,,,name,,Non-Brands,,,
free domain for blogger,INR,500,0%,0%,Medium,55,11.14,121.76,,,,,,,,,,,,,,,,,,,,,,,"free, blogger",,,,
dropped domains,INR,50,0%,0%,Low,18,17.51,96.05,,,,,,,,,,,,,,,,,,,,,,,expired domains,,,,
namecheap hosting price,INR,50,0%,-90%,Medium,42,23.88,105.85,,,,,,,,,,,,,,,,,,,"web hosting services, domain web hosting, web hosting",,namecheap,,,,,,
freenom dns,INR,50,0%,0%,Low,5,,,,,,,,,,,,,,,,,,,,,,,,,freenom,,,,
godaddy domain availability,INR,500,0%,0%,Medium,40,8.39,214.88,,,,,,,,,,,,,,,,,,,,,godaddy,name,,,,,
domain name hosting,INR,500,0%,0%,Medium,39,23.83,166.95,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, domain web hosting, web hosting",,,"website, name",,Non-Brands,,,
personalised email address,INR,500,0%,0%,Low,33,37.03,3122.07,,,,,,,,,,,,,,,,,,,,,,"email, address",,Non-Brands,,,
betterwhois,INR,50,0%,0%,Low,8,23.88,175.88,,,,,,,,,,,,,,,,,,,,,,,betterwhois,,,,
best web hosting for beginners,INR,500,0%,0%,Medium,38,51.36,289.68,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
godaddy sell domain,INR,500,0%,0%,Low,24,6.37,184.63,,,,,,,,,,,,,,,,,,,,,godaddy,name,,,,,
aws wordpress hosting,INR,500,0%,0%,Medium,48,53.32,557.09,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, wordpress hosting, web hosting",aws,,,,,,,
cheap web hosting services,INR,50,0%,-90%,Medium,52,66.05,261.28,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
short domain name generator,INR,500,0%,0%,Medium,38,7.96,29.45,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
domain owner search,INR,500,0%,0%,Medium,35,5.57,78.79,,,,,,,,,,,,,,,,,,,,,,website,,Non-Brands,,,
hostmonster cpanel,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,,,web hosting,,hostmonster,,,,,,cpanel
amazon web hosting pricing,INR,50,0%,-90%,Medium,43,13.53,132.9,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, cloud hosting, web hosting",aws,,website,,,,,
unlimited reseller hosting,INR,500,0%,0%,Medium,46,30.38,397.92,,,,,,,,,,,,,,,,,,,"web hosting services, reseller hosting, web hosting",,,,,Non-Brands,,,
dawhois,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,,,,,dawhois,,,,
office 365 domain,INR,50,0%,0%,Low,32,42.18,358.92,,,,,,,,,,,,,,,,,,,,microsoft,,,,,,,
my dns lookup,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
best hosting company,INR,500,0%,0%,High,72,61.28,414.63,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, business hosting, web hosting",,,website,,Non-Brands,,,
domain it,INR,50,-90%,0%,Low,6,17.04,130.68,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
cloudflare buy domain,INR,50,0%,0%,Low,22,39,294.46,,,,,,,,,,,,,,,,,,,,,cloudflare,,,,,,
free dns domain,INR,50,0%,0%,Medium,48,19.9,257.06,,,,,,,,,,,,,,,,,,,,,,name,free,,,,
hostinger cloud hosting,INR,500,0%,0%,Medium,42,27.22,175.88,,,,,,,,,,,,,,,,,,,"web hosting services, cloud hosting, web hosting, free hosting",,,,free,,hostinger,,
available domain names list,INR,500,0%,0%,Medium,37,14.33,123.35,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
host website on google cloud,INR,50,0%,-90%,Low,28,79.58,12466,,,,,,,,,,,,,,,,,,,"website hosting, cloud hosting, web hosting",google,,website,,,,,
top domain registrars,INR,50,0%,-90%,Medium,47,37.4,163.94,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
yourdomain,INR,500,0%,0%,Low,30,9.83,63.7,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
local domain name,INR,50,0%,0%,Low,8,11.14,129.72,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
plesk free,INR,50,0%,0%,Low,30,35.53,946.57,,,,,,,,,,,,,,,,,,,"web hosting, free hosting",,,,free,,,,plesk
webhosting000,INR,50,0%,0%,Low,7,,,,,,,,,,,,,,,,,,,,,web hosting,,,,,Non-Brands,,,
plesk docker,INR,50,0%,0%,Low,14,,,,,,,,,,,,,,,,,,,,,web hosting,,,,,,,,plesk
amazon web services hosting,INR,50,0%,0%,Medium,48,12.73,81.58,,,,,,,,,,,,,,,,,,,"web hosting services, cloud hosting, web hosting",aws,,,,,,,
gcp web hosting,INR,50,0%,0%,Medium,40,89.56,2532.35,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, cloud hosting, web hosting",google,,website,,,,,
website tld,INR,50,0%,0%,Low,14,53.32,147.23,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
wix free domain,INR,500,0%,0%,Low,25,16.71,601.65,,,,,,,,,,,,,,,,,,wix,,,,website,free,,,,
99 cent domain,INR,50,0%,0%,Medium,50,29.98,201.35,,,,,,,,,,,,,,,,,,,,,godaddy,,,,,,
google cloud web hosting price,INR,50,0%,0%,Medium,34,40.45,3894.83,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, cloud hosting, web hosting",google,,website,,,,,
yahoo small business free domain,INR,500,0%,0%,Low,33,9.55,646.22,,,,,,,,,,,,,,,,,,,,yahoo,,website,free,,,,
namecheap free domain,INR,500,-90%,-90%,Low,18,1.33,31.06,,,,,,,,,,,,,,,,,,,free hosting,,namecheap,,free,,,,
genxwhosting,INR,500,0%,0%,Low,10,42.07,159.17,,,,,,,,,,,,,,,,,,,web hosting,,,,genxwhosting,,,,
powweb email,INR,50,?,0%,Low,0,,,,,,,,,,,,,,,,,,,,,"web hosting, email hosting",,,email,powweb,,,,
sell your domain,INR,50,0%,-90%,Medium,42,9.55,318.33,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
web hosting plans,INR,500,0%,0%,High,71,70.83,359.77,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
aws static website,INR,50,0%,0%,Low,10,44.57,7958.37,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",aws,,website,,,,,
domain price comparison,INR,500,900%,0%,Medium,42,24.28,116.19,,,,,,,,,,,,,,,,,,,,,,,domain price comparison,,,,
free custom email,INR,500,0%,0%,Medium,44,19.69,93.11,,,,,,,,,,,,,,,,,,,,,,"email, address",free,,,,
cpanel reseller hosting,INR,500,0%,0%,Medium,37,55.39,397.92,,,,,,,,,,,,,,,,,,,"reseller hosting, web hosting",,,,,,,,cpanel
bluehost discount,INR,50,0%,0%,Low,32,27.85,164.74,,,,,,,,,,,,,,,,,,,web hosting,,bluehost,,,,,,
best domain registrar 2020,INR,50,?,-90%,High,75,29.45,265.81,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
online hosting,INR,500,0%,-90%,Medium,44,27.06,260.64,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
expired domain search,INR,500,900%,0%,Medium,45,23.88,104.25,,,,,,,,,,,,,,,,,,,,,,name,expired domains,,,,
cloudflare cname,INR,50,0%,0%,Low,3,,,,,,,,,,,,,,,,,,,,,,,cloudflare,,,,,,
free hosting unlimited,INR,500,0%,0%,Medium,52,21.91,252.28,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting, free hosting",,,,free,,freehosting,,
amazon web server hosting,INR,50,0%,0%,Medium,57,,,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, cloud hosting, web hosting",aws,,website,,,,,
free domains for life,INR,50,0%,-90%,Medium,47,4.78,31.57,,,,,,,,,,,,,,,,,,,,,,,free,,,,
find all subdomains of a domain,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
dns registration,INR,50,0%,-90%,Low,32,21.49,226.42,,,,,,,,,,,,,,,,,,,domain registration,,,name,,Non-Brands,,,
new domain extensions,INR,50,0%,0%,Medium,42,15.92,117.78,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
domain in database,INR,500,0%,0%,Low,4,11.14,93.11,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
cloud web server,INR,50,0%,0%,Low,23,57.2,214.08,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, cloud hosting, web hosting",,,website,,Non-Brands,,,
wix domain price,INR,50,0%,-90%,Low,25,29.97,432.94,,,,,,,,,,,,,,,,,,wix,website hosting,,,"website, name",,,,,
top hosting providers,INR,500,0%,0%,High,74,62.08,371.66,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
new tld,INR,50,0%,0%,Low,24,11.14,180.66,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
different domains,INR,500,0%,0%,Low,5,9.15,101.87,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
best registrar,INR,50,0%,0%,Low,10,,,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
web names,INR,50,0%,0%,Low,24,9.77,68.09,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
transfer domain name,INR,500,0%,0%,Low,32,33.43,168.72,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
namecheap website builder,INR,50,0%,0%,Low,28,58.89,238.75,,,,,,,,,,,,,,,,,,,"website hosting, domain web hosting, web hosting",,namecheap,website,,,,,
internet hosting,INR,500,-90%,-90%,Low,17,11.75,210.1,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
find website host,INR,500,0%,0%,Low,15,29.41,147.23,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,,website,,Non-Brands,,,
godaddy backorder,INR,50,0%,-90%,Low,16,29.97,313.45,,,,,,,,,,,,,,,,,,,,,godaddy,,,,,,
hostpapa cpanel,INR,50,0%,0%,Low,5,,,,,,,,,,,,,,,,,,,,,web hosting,,hostpapa,,,,,,cpanel
windows dedicated server,INR,500,0%,0%,Medium,43,110.32,625.86,,,,,,,,,,,,,,,,,,,"web hosting services, windows hosting, web hosting",,,,,Non-Brands,,,
wordpress cloud hosting,INR,500,0%,0%,High,71,132.9,557.09,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, wordpress hosting, cloud hosting, web hosting",,,,,,,,
web hosting control panel,INR,500,0%,0%,Low,28,28.48,137.31,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,,website,,Non-Brands,,,
register website domain,INR,500,0%,0%,Medium,54,33.78,311.97,,,,,,,,,,,,,,,,,,,domain registration,,,"website, name, address",,Non-Brands,,,
cheapest domain and hosting,INR,500,0%,0%,High,80,43.71,342.21,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, domain web hosting, web hosting",,,website,,Non-Brands,,,
domain and subdomain,INR,500,0%,0%,Low,5,1.59,58.89,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
hostinger reseller,INR,500,0%,0%,Medium,48,12.25,397.92,,,,,,,,,,,,,,,,,,,"reseller hosting, web hosting",,,,,,hostinger,,
vps reseller,INR,50,0%,-90%,Medium,58,40.59,191.8,,,,,,,,,,,,,,,,,,,"vps, reseller hosting, web hosting",,,,,Non-Brands,,,
000webhost free hosting,INR,500,900%,0%,Low,10,22.15,60.48,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting, free hosting",,,website,free,,"freehosting, 000webhost",,
malware domain list,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,,,,,,,malware domain list,,,,
expired domain names,INR,500,900%,0%,Low,33,6.48,60.48,,,,,,,,,,,,,,,,,,,,,,name,expired domains,,,,
best cloud server hosting,INR,50,0%,0%,Low,32,143.94,259.4,,,,,,,,,,,,,,,,,,,"web hosting services, cloud hosting, web hosting",,,,,Non-Brands,,,
cloudflare railgun,INR,50,0%,0%,Low,5,966.15,3244.63,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,cloudflare,,,,,,
nic domain,INR,500,0%,0%,Low,7,11.14,45.36,,,,,,,,,,,,,,,,,,,,,,name,nic,,,,
namecheap wordpress,INR,50,0%,0%,Low,29,34.22,399.51,,,,,,,,,,,,,,,,,,wordpress,wordpress hosting,,namecheap,,,,,,
manage google domain,INR,500,0%,0%,Low,29,188.61,1177.04,,,,,,,,,,,,,,,,,,,,google,google domains,,,,,,
netlify dns,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,,,,,,,netlify,,,,
good domain names,INR,500,900%,0%,Medium,45,14.03,95.5,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
most expensive domain,INR,50,-90%,-90%,Low,5,54.12,230.79,,,,,,,,,,,,,,,,,,,,,,name,most expensive domains,,,,
namecheap email hosting,INR,50,0%,0%,Low,19,17.51,403.89,,,,,,,,,,,,,,,,,,,email hosting,,namecheap,email,,,,,
godaddy website design,INR,500,0%,0%,Medium,45,19.9,155.19,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,godaddy,website,,,,,
website hosting and domain,INR,500,0%,0%,High,70,57.3,386.78,,,,,,,,,,,,,,,,,,,"website hosting, domain web hosting, web hosting",,,website,,Non-Brands,,,
aws website hosting cost,INR,50,0%,0%,Medium,40,13.53,119.89,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",aws,,website,,,,,
domain name owner,INR,500,0%,0%,Low,29,6.34,76.4,,,,,,,,,,,,,,,,,,,,,,"name, address",,Non-Brands,,,
domain org,INR,50,0%,0%,Medium,37,15.42,105.05,,,,,,,,,,,,,,,,,,,,,,name,domain org,,,,
find website owner,INR,500,0%,0%,Low,29,4.78,131.31,,,,,,,,,,,,,,,,,,,,,,website,,Non-Brands,,,
domain owner details,INR,500,0%,0%,Medium,39,5.57,156.78,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
wordpress free domain,INR,500,0%,0%,Medium,42,14.33,77.99,,,,,,,,,,,,,,,,,,wordpress,"website hosting, wordpress hosting, free hosting",,,website,free,,,,
black friday web hosting deals,INR,500,0%,-90%,Low,5,7.14,89.13,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,,website,,Non-Brands,,,
